Name,ShortName
I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload
I always make a list so I don't forget anything.,Writing notes
I look at things from all different angles before I go ahead.,Thinking ahead
I am reliable at work and always complete all tasks given to me.,Reliability
I always keep my promises.,Keeping promises
I can fall for someone very quickly and then completely lose interest.,Loss of interest
I would rather have lots of friends than lots of money.,Friends versus money
I can be two faced sometimes.,Fake
I damaged things in the past when angry.,Criminal damage
I take my time to make decisions.,Decision making
I often think about and regret the decisions I make.,Self-criticism
I feel lonely in life.,Loneliness
I used to cheat at school.,Cheating in school
I wish I could change the past because of the things I have done.,Changing the past
I believe in God.,God
Timekeeping.,Punctuality
Do you lie to others?,Lying
I am very patient.,Waiting
I can quickly adapt to a new environment.,New environment
My moods change quickly.,Mood swings
I am well mannered and I look after my appearance.,Appearence and gestures
I enjoy meeting new people.,Socializing
I am not afraid to give my opinion if I feel strongly about something.,Assertiveness
I can get angry very easily.,Getting angry
I always make sure I connect with the right people.,Knowing the right people
I have to be well prepared before public speaking.,Public speaking
I cry when I feel down or things don't go the right way.,Life struggles
I am 100% happy with my life.,Happiness in life
I am always full of life and energy.,Energy levels
I believe all my personality traits are positive.,Personality
I find it very difficult to get up in the morning.,Getting up
I have many different hobbies and interests.,Interests or hobbies
I always listen to my parents' advice.,Parents' advice
How much time do you spend online?,Internet usage
I save all the money I can.,Finances
