Name,Less Than 3,Greater than 3,MaleAgree(>3),FemaleAgree(>3),maleAgreePercent,femaleAgreePercent,MaleAgree(<3),FemaleAgree(<3),maleDisPercent,femaleDisPercent,villageAgree,cityAgree,villageDisagree,cityDisagree,villageAgreePercent,cityAgreePercent,villageDisPercent,cityDisPercent
Healthy eating,218,285,118,165,0.287104623,0.278246206,115,101,0.279805353,0.170320405,97,206,72,161,0.324414716,0.291371994,0.240802676,0.227722772
Daily events,301,316,145,168,0.352798054,0.283305228,111,189,0.270072993,0.318718381,99,221,95,199,0.331103679,0.312588402,0.317725753,0.281471004
Prioritising workload,460,238,93,143,0.226277372,0.241146712,195,263,0.474452555,0.443507589,68,159,142,316,0.227424749,0.224893918,0.474916388,0.446958982
Writing notes,370,414,119,291,0.289537713,0.490725126,200,170,0.486618005,0.286677909,129,284,126,259,0.431438127,0.401697313,0.421404682,0.366336634
Workaholism,368,346,134,209,0.326034063,0.352445194,159,208,0.386861314,0.350758853,108,232,110,263,0.361204013,0.3281471,0.367892977,0.371994342
Thinking ahead,222,474,208,261,0.506082725,0.440134907,88,134,0.214111922,0.225969646,152,334,73,154,0.508361204,0.47241867,0.244147157,0.217821782
Final judgement,440,258,95,162,0.231143552,0.273187184,195,242,0.474452555,0.408094435,77,188,143,307,0.257525084,0.265912306,0.47826087,0.434229137
Reliability,80,677,268,406,0.652068127,0.6846543,44,36,0.107055961,0.060708263,196,476,25,58,0.655518395,0.673267327,0.08361204,0.082036775
Keeping promises,56,743,308,431,0.749391727,0.726812816,25,31,0.060827251,0.05227656,215,523,17,34,0.719063545,0.739745403,0.056856187,0.048090523
Loss of interest,473,293,121,170,0.294403893,0.286677909,178,292,0.433090024,0.492411467,82,203,145,322,0.274247492,0.287128713,0.484949833,0.455445545
Friends versus money,123,606,223,380,0.542579075,0.640809444,67,55,0.163017032,0.092748735,179,428,43,92,0.598662207,0.605374823,0.143812709,0.130127298
Funniness,226,424,215,207,0.523114355,0.349072513,63,161,0.153284672,0.271500843,125,295,78,153,0.418060201,0.417256011,0.260869565,0.216407355
Fake,707,116,60,55,0.145985401,0.092748735,271,431,0.659367397,0.726812816,36,76,204,495,0.120401338,0.107496464,0.682274247,0.700141443
Criminal damage,548,317,171,143,0.416058394,0.241146712,184,362,0.447688564,0.610455312,81,224,149,381,0.27090301,0.316831683,0.498327759,0.538896747
Decision making,286,381,133,246,0.323600973,0.414839798,124,160,0.301703163,0.269814503,125,273,95,191,0.418060201,0.386138614,0.317725753,0.270155587
Elections,304,543,231,309,0.562043796,0.521079258,112,189,0.272506083,0.318718381,155,385,98,208,0.518394649,0.544554455,0.327759197,0.294200849
Self-criticism,182,549,206,340,0.501216545,0.573355818,84,98,0.204379562,0.165261383,163,389,50,125,0.545150502,0.550212164,0.16722408,0.176803395
Judgment calls,70,701,277,421,0.673965937,0.70994941,30,38,0.072992701,0.064080944,206,493,15,56,0.688963211,0.697312588,0.050167224,0.079207921
Hypochondria,732,118,36,80,0.087591241,0.134907251,310,419,0.754257908,0.706576728,38,78,219,499,0.127090301,0.110325318,0.732441472,0.705799151
Empathy,129,665,223,437,0.542579075,0.73693086,83,46,0.201946472,0.077571669,202,465,37,95,0.675585284,0.657708628,0.123745819,0.13437058
Eating to survive,649,171,86,85,0.209245742,0.143338954,245,400,0.596107056,0.674536256,55,127,187,440,0.183946488,0.179632249,0.62541806,0.622347949
Giving,366,343,96,243,0.233576642,0.409780776,186,178,0.452554745,0.300168634,103,232,105,253,0.344481605,0.3281471,0.351170569,0.357850071
Compassion to animals,141,684,238,442,0.579075426,0.745362563,86,55,0.209245742,0.092748735,203,467,37,113,0.678929766,0.660537482,0.123745819,0.159830269
Borrowed stuff,98,739,289,444,0.703163017,0.748735245,47,51,0.114355231,0.086003373,220,521,31,65,0.735785953,0.736916549,0.10367893,0.091937765
Loneliness,378,272,102,167,0.248175182,0.281618887,168,209,0.408759124,0.352445194,87,181,99,260,0.2909699,0.256011315,0.331103679,0.367751061
Cheating in school,205,576,241,330,0.586374696,0.556492411,89,115,0.216545012,0.193929174,158,398,65,138,0.528428094,0.562942009,0.217391304,0.195190948
Health,208,400,147,252,0.357664234,0.424957841,114,92,0.277372263,0.155143339,118,263,51,143,0.394648829,0.371994342,0.170568562,0.202263083
Changing the past,375,337,138,195,0.335766423,0.328836425,151,222,0.367396594,0.374367622,102,235,113,269,0.341137124,0.332390382,0.377926421,0.380480905
God,309,483,171,310,0.416058394,0.522765599,152,156,0.369829684,0.26306914,139,335,92,222,0.464882943,0.473833098,0.307692308,0.314002829
Dreams,71,348,154,194,0.374695864,0.327150084,29,42,0.070559611,0.070826307,113,241,22,51,0.377926421,0.340876945,0.073578595,0.072135785
Charity,655,86,37,49,0.090024331,0.082630691,276,375,0.671532847,0.63237774,25,63,192,460,0.08361204,0.089108911,0.642140468,0.650636492
Number of friends,177,406,174,230,0.423357664,0.387858347,78,97,0.189781022,0.163575042,121,280,56,132,0.404682274,0.396039604,0.18729097,0.186704385
Punctuality,726,282,315,406,0.766423358,0.6846543,95,186,0.231143552,0.313659359,233,490,64,217,0.779264214,0.693069307,0.214046823,0.306930693
Lying,51,957,390,561,0.94890511,0.9460371,19,32,0.04622871,0.053962901,279,675,19,31,0.933110368,0.954738331,0.063545151,0.043847242
Waiting,426,187,84,101,0.204379562,0.170320405,168,257,0.408759124,0.433389545,61,138,130,279,0.204013378,0.195190948,0.434782609,0.394625177
New environment,189,515,223,291,0.542579075,0.490725126,68,119,0.165450122,0.200674536,142,343,48,138,0.474916388,0.485148515,0.160535117,0.195190948
Mood swings,241,386,115,266,0.279805353,0.44856661,146,95,0.355231144,0.160202361,120,265,66,177,0.401337793,0.374823197,0.220735786,0.250353607
Appearence and gestures,107,555,206,347,0.501216545,0.585160202,59,48,0.143552311,0.080944351,162,372,31,78,0.54180602,0.526166902,0.10367893,0.110325318
Socializing,257,362,136,224,0.330900243,0.377740304,99,158,0.240875912,0.266441821,120,248,73,182,0.401337793,0.350777935,0.244147157,0.257425743
Achievements,276,262,126,135,0.306569343,0.227655987,110,164,0.267639903,0.276559865,75,177,86,190,0.25083612,0.250353607,0.287625418,0.26874116
Responding to a serious letter,294,378,147,231,0.357664234,0.389544688,117,175,0.284671533,0.295109612,123,258,82,218,0.411371238,0.364922207,0.274247492,0.30834512
Children,157,540,168,369,0.408759124,0.622259696,71,85,0.172749392,0.143338954,158,385,45,112,0.528428094,0.544554455,0.150501672,0.158415842
Assertiveness,171,516,203,311,0.493917275,0.524451939,65,104,0.158150852,0.175379427,146,358,43,107,0.488294314,0.506364922,0.143812709,0.151343706
Getting angry,324,344,114,227,0.277372263,0.382799325,165,157,0.401459854,0.264755481,104,236,106,230,0.347826087,0.333804809,0.35451505,0.325318246
Knowing the right people,163,521,210,307,0.510948905,0.517706577,69,94,0.167883212,0.15851602,151,353,47,121,0.505016722,0.499292786,0.157190635,0.171145686
Public speaking,216,532,184,344,0.447688564,0.58010118,106,109,0.257907543,0.18381113,177,364,64,143,0.591973244,0.514851485,0.214046823,0.202263083
Unpopularity,150,468,173,291,0.420924574,0.490725126,78,71,0.189781022,0.119730185,140,309,44,106,0.468227425,0.437057992,0.147157191,0.149929279
Life struggles,381,405,55,349,0.133819951,0.588532884,277,103,0.673965937,0.173693086,123,271,111,272,0.411371238,0.38330976,0.371237458,0.384724187
Happiness in life,71,651,269,380,0.654501217,0.640809444,30,40,0.072992701,0.067453626,193,456,25,48,0.64548495,0.644978784,0.08361204,0.067892504
Energy levels,118,579,231,346,0.562043796,0.583473862,53,65,0.128953771,0.109612142,172,395,35,80,0.575250836,0.558698727,0.117056856,0.113154173
Small - big dogs,308,313,152,159,0.369829684,0.268128162,91,215,0.221411192,0.362563238,97,214,99,217,0.324414716,0.302687412,0.331103679,0.306930693
Personality,53,326,159,165,0.386861314,0.278246206,23,28,0.055961071,0.047217538,109,227,18,38,0.364548495,0.321074965,0.060200669,0.053748232
Finding lost valuables,361,295,96,195,0.233576642,0.328836425,177,182,0.430656934,0.306913997,97,213,109,249,0.324414716,0.301272984,0.364548495,0.352192362
Getting up,230,567,219,345,0.532846715,0.581787521,94,135,0.228710462,0.227655987,167,393,72,160,0.558528428,0.555869873,0.240802676,0.226308345
Interests or hobbies,178,514,230,282,0.559610706,0.475548061,62,113,0.150851582,0.190556492,147,356,51,126,0.491638796,0.503536068,0.170568562,0.178217822
Parents' advice,153,400,133,263,0.323600973,0.443507589,80,73,0.194647202,0.123102867,111,273,50,103,0.371237458,0.386138614,0.16722408,0.145685997
Questionnaires or polls,392,216,68,146,0.165450122,0.246205734,189,201,0.459854015,0.338954469,60,147,125,273,0.200668896,0.207920792,0.418060201,0.386138614
Internet usage,139,868,374,488,0.909975669,0.822934233,36,103,0.087591241,0.173693086,249,616,48,90,0.83277592,0.871287129,0.160535117,0.127298444
Finances,299,350,137,212,0.333333333,0.357504216,136,160,0.330900243,0.269814503,107,249,86,198,0.357859532,0.352192362,0.287625418,0.280056577
Shopping centres,308,457,148,307,0.360097324,0.517706577,155,150,0.377128954,0.252951096,125,307,95,215,0.418060201,0.434229137,0.317725753,0.304101839
Branded clothing,328,397,207,189,0.503649635,0.318718381,105,221,0.255474453,0.372681282,127,262,102,229,0.424749164,0.370579915,0.341137124,0.323903819
Entertainment spending,284,411,210,198,0.510948905,0.333895447,90,192,0.218978102,0.323777403,119,278,88,203,0.397993311,0.39321075,0.294314381,0.287128713
Spending on looks,317,391,135,254,0.328467153,0.428330523,156,159,0.379562044,0.268128162,111,265,86,227,0.371237458,0.374823197,0.287625418,0.321074965
