Name,Less Than 3,Greater than 3,MaleAgree(>3),FemaleAgree(>3),maleAgreePercent,femaleAgreePercent,MaleAgree(<3),FemaleAgree(<3),maleDisPercent,femaleDisPercent,villageAgree,cityAgree,villageDisagree,cityDisagree,villageAgreePercent,cityAgreePercent,villageDisPercent,cityDisPercent
I try to do tasks as soon as possible and not leave them until last minute.,460,238,93,143,0.226277372,0.241146712,195,263,0.474452555,0.443507589,68,159,142,316,0.227424749,0.224893918,0.474916388,0.446958982
I always make a list so I don't forget anything.,370,414,119,291,0.289537713,0.490725126,200,170,0.486618005,0.286677909,129,284,126,259,0.431438127,0.401697313,0.421404682,0.366336634
I look at things from all different angles before I go ahead.,222,474,208,261,0.506082725,0.440134907,88,134,0.214111922,0.225969646,152,334,73,154,0.508361204,0.47241867,0.244147157,0.217821782
I am reliable at work and always complete all tasks given to me.,80,677,268,406,0.652068127,0.6846543,44,36,0.107055961,0.060708263,196,476,25,58,0.655518395,0.673267327,0.08361204,0.082036775
I always keep my promises.,56,743,308,431,0.749391727,0.726812816,25,31,0.060827251,0.05227656,215,523,17,34,0.719063545,0.739745403,0.056856187,0.048090523
I can fall for someone very quickly and then completely lose interest.,473,293,121,170,0.294403893,0.286677909,178,292,0.433090024,0.492411467,82,203,145,322,0.274247492,0.287128713,0.484949833,0.455445545
I would rather have lots of friends than lots of money.,123,606,223,380,0.542579075,0.640809444,67,55,0.163017032,0.092748735,179,428,43,92,0.598662207,0.605374823,0.143812709,0.130127298
I can be two faced sometimes.,707,116,60,55,0.145985401,0.092748735,271,431,0.659367397,0.726812816,36,76,204,495,0.120401338,0.107496464,0.682274247,0.700141443
I damaged things in the past when angry.,548,317,171,143,0.416058394,0.241146712,184,362,0.447688564,0.610455312,81,224,149,381,0.27090301,0.316831683,0.498327759,0.538896747
I take my time to make decisions.,286,381,133,246,0.323600973,0.414839798,124,160,0.301703163,0.269814503,125,273,95,191,0.418060201,0.386138614,0.317725753,0.270155587
I often think about and regret the decisions I make.,182,549,206,340,0.501216545,0.573355818,84,98,0.204379562,0.165261383,163,389,50,125,0.545150502,0.550212164,0.16722408,0.176803395
I feel lonely in life.,378,272,102,167,0.248175182,0.281618887,168,209,0.408759124,0.352445194,87,181,99,260,0.2909699,0.256011315,0.331103679,0.367751061
I used to cheat at school.,205,576,241,330,0.586374696,0.556492411,89,115,0.216545012,0.193929174,158,398,65,138,0.528428094,0.562942009,0.217391304,0.195190948
I wish I could change the past because of the things I have done.,375,337,138,195,0.335766423,0.328836425,151,222,0.367396594,0.374367622,102,235,113,269,0.341137124,0.332390382,0.377926421,0.380480905
I believe in God.,309,483,171,310,0.416058394,0.522765599,152,156,0.369829684,0.26306914,139,335,92,222,0.464882943,0.473833098,0.307692308,0.314002829
I often arrive on time.,726,282,315,406,0.766423358,0.6846543,95,186,0.231143552,0.313659359,233,490,64,217,0.779264214,0.693069307,0.214046823,0.306930693
I sometimes lie to others,51,957,390,561,0.94890511,0.9460371,19,32,0.04622871,0.053962901,279,675,19,31,0.933110368,0.954738331,0.063545151,0.043847242
I am very patient.,426,187,84,101,0.204379562,0.170320405,168,257,0.408759124,0.433389545,61,138,130,279,0.204013378,0.195190948,0.434782609,0.394625177
I can quickly adapt to a new environment.,189,515,223,291,0.542579075,0.490725126,68,119,0.165450122,0.200674536,142,343,48,138,0.474916388,0.485148515,0.160535117,0.195190948
My moods change quickly.,241,386,115,266,0.279805353,0.44856661,146,95,0.355231144,0.160202361,120,265,66,177,0.401337793,0.374823197,0.220735786,0.250353607
I am well mannered and I look after my appearance.,107,555,206,347,0.501216545,0.585160202,59,48,0.143552311,0.080944351,162,372,31,78,0.54180602,0.526166902,0.10367893,0.110325318
I enjoy meeting new people.,257,362,136,224,0.330900243,0.377740304,99,158,0.240875912,0.266441821,120,248,73,182,0.401337793,0.350777935,0.244147157,0.257425743
I am not afraid to give my opinion if I feel strongly about something.,171,516,203,311,0.493917275,0.524451939,65,104,0.158150852,0.175379427,146,358,43,107,0.488294314,0.506364922,0.143812709,0.151343706
I can get angry very easily.,324,344,114,227,0.277372263,0.382799325,165,157,0.401459854,0.264755481,104,236,106,230,0.347826087,0.333804809,0.35451505,0.325318246
I always make sure I connect with the right people.,163,521,210,307,0.510948905,0.517706577,69,94,0.167883212,0.15851602,151,353,47,121,0.505016722,0.499292786,0.157190635,0.171145686
I have to be well prepared before public speaking.,216,532,184,344,0.447688564,0.58010118,106,109,0.257907543,0.18381113,177,364,64,143,0.591973244,0.514851485,0.214046823,0.202263083
I cry when I feel down or things don't go the right way.,381,405,55,349,0.133819951,0.588532884,277,103,0.673965937,0.173693086,123,271,111,272,0.411371238,0.38330976,0.371237458,0.384724187
I am 100% happy with my life.,71,651,269,380,0.654501217,0.640809444,30,40,0.072992701,0.067453626,193,456,25,48,0.64548495,0.644978784,0.08361204,0.067892504
I am always full of life and energy.,118,579,231,346,0.562043796,0.583473862,53,65,0.128953771,0.109612142,172,395,35,80,0.575250836,0.558698727,0.117056856,0.113154173
I believe all my personality traits are positive.,53,326,159,165,0.386861314,0.278246206,23,28,0.055961071,0.047217538,109,227,18,38,0.364548495,0.321074965,0.060200669,0.053748232
I find it very difficult to get up in the morning.,230,567,219,345,0.532846715,0.581787521,94,135,0.228710462,0.227655987,167,393,72,160,0.558528428,0.555869873,0.240802676,0.226308345
I have many different hobbies and interests.,178,514,230,282,0.559610706,0.475548061,62,113,0.150851582,0.190556492,147,356,51,126,0.491638796,0.503536068,0.170568562,0.178217822
I always listen to my parents' advice.,153,400,133,263,0.323600973,0.443507589,80,73,0.194647202,0.123102867,111,273,50,103,0.371237458,0.386138614,0.16722408,0.145685997
I spend more than two hours online per day,139,868,374,488,0.909975669,0.822934233,36,103,0.087591241,0.173693086,249,616,48,90,0.83277592,0.871287129,0.160535117,0.127298444
I save all the money I can.,299,350,137,212,0.333333333,0.357504216,136,160,0.330900243,0.269814503,107,249,86,198,0.357859532,0.352192362,0.287625418,0.280056577
