Theme,Less Than 3,Greater than 3,MaleAgree(>3),FemaleAgree(>3),maleAgreePercent,femaleAgreePercent,MaleAgree(<3),FemaleAgree(<3),maleDisPercent,femaleDisPercent,villageAgree,cityAgree,villageDisagree,cityDisagree,villageAgreePercent,cityAgreePercent,villageDisPercent,cityDisPercent,
Healthy eating,218,285,118,165,0.287104623,0.278246206,115,101,0.279805353,0.170320405,76,206,72,146,0.254180602,0.2913719943,0.240802676,0.227722772,
Daily events,301,316,145,168,0.352798054,0.283305228,111,189,0.270072993,0.318718381,87,228,97,203,0.2909698997,0.3224893918,0.317725753,0.281471004,
Prioritizing workload,460,238,93,143,0.226277372,0.241146712,195,263,0.474452555,0.443507589,84,151,132,327,0.2809364548,0.2135785007,0.474916388,0.446958982,
Writing notes,370,414,119,291,0.289537713,0.490725126,200,170,0.486618005,0.286677909,135,277,108,261,0.4515050167,0.3917963225,0.421404682,0.366336634,
Workaholism,368,346,134,209,0.326034063,0.352445194,159,208,0.386861314,0.350758853,103,242,110,257,0.3444816054,0.342291372,0.367892977,0.371994342,
Thinking ahead,222,474,208,261,0.506082725,0.440134907,88,134,0.214111922,0.225969646,149,323,67,154,0.4983277592,0.4568599717,0.244147157,0.217821782,
Final judgement,440,258,95,162,0.231143552,0.273187184,195,242,0.474452555,0.408094435,99,156,106,334,0.3311036789,0.2206506365,0.47826087,0.434229137,
Reliability,80,677,268,406,0.652068127,0.6846543,44,36,0.107055961,0.060708263,197,477,25,55,0.6588628763,0.6746817539,0.08361204,0.082036775,
Keeping promises,56,743,308,431,0.749391727,0.726812816,25,31,0.060827251,0.05227656,225,514,22,34,0.7525083612,0.7270155587,0.056856187,0.048090523
Loss of interest,473,293,121,170,0.294403893,0.286677909,178,292,0.433090024,0.492411467,78,214,151,319,0.2608695652,0.3026874116,0.484949833,0.455445545
Friends versus money,123,606,223,380,0.542579075,0.640809444,67,55,0.163017032,0.092748735,192,410,31,92,0.6421404682,0.5799151344,0.143812709,0.130127298
Funniness,226,424,215,207,0.523114355,0.349072513,63,161,0.153284672,0.271500843,121,301,56,169,0.4046822742,0.4257425743,0.260869565,0.216407355
Fake,707,116,60,55,0.145985401,0.092748735,271,431,0.659367397,0.726812816,34,81,207,497,0.1137123746,0.1145685997,0.682274247,0.700141443
Criminal damage,548,317,171,143,0.416058394,0.241146712,184,362,0.447688564,0.610455312,85,230,171,375,0.2842809365,0.3253182461,0.498327759,0.538896747
Decision making,286,381,133,246,0.323600973,0.414839798,124,160,0.301703163,0.269814503,123,255,89,196,0.4113712375,0.360678925,0.317725753,0.270155587
Elections,304,543,231,309,0.562043796,0.521079258,112,189,0.272506083,0.318718381,151,390,92,210,0.5050167224,0.5516265912,0.327759197,0.294200849
Self-criticism,182,549,206,340,0.501216545,0.573355818,84,98,0.204379562,0.165261383,170,377,58,124,0.5685618729,0.5332390382,0.16722408,0.176803395
Judgment calls,70,701,277,421,0.673965937,0.70994941,30,38,0.072992701,0.064080944,215,483,18,52,0.7190635452,0.6831683168,0.050167224,0.079207921
